HEAD,TORSO,ARMS,LEGS,GENERAL,Упражнение,Id,Оценка за количество
2.3498297787512263,2.990364055741566,2.3199962363399336,1.7813892549922592,2.3603948314562464,Марш на месте,1,5
7.126171230897097,3.964207366404304,4.804952405718397,4.181142652903934,5.019118413980933,Сгибание ног лежа,11,5
1.0051621271478348,1.2605737567789097,2.3715589165202062,1.8270456627192524,1.6160851157915506,Наклоны в стороны с поднятыми руками,15,5
1.621687573033886,1.06632140817681,0.8610454288012067,2.6953808064987674,1.5611088041276675,Прыжки со скрещением ног,17,5
1.8952764501867465,2.721989855810225,4.24979851380508,3.284154220077586,3.0378047599699096,Марш на месте 2,18,5
0.4869897619689737,0.5843125156673885,1.520181434059194,0.8859347570620039,0.86935461718939,Руки вверх - опускаем через стороны,19,5
0.505369930639568,1.2331587385555258,3.8718079083365984,1.494845000594932,1.776295394531656,Руки перед грудью - в стороны,3,5
1.5026834920580932,1.4014630465056157,2.082558448579813,1.0831808888934549,1.5174714690092443,Повороты туловища с наклоном вперед,5,5
1.4278139860141446,0.5915304366985099,3.098862272538589,0.962256771905874,1.5201158667892796,Приседания на одно колено,7,5
1.2948669708476146,0.9309818858819007,1.5838814727853157,1.3686713109625412,1.2946004101193431,Поднимаем вытянутую ногу к противоположной руке,9,5
